TEAM,TEAM,STAR POTENTIAL,SHOOTING,OFFENSE,DEFENSE,REBOUNDING,PLAYMAKING
Detroit Pistons,Pistons,1,0,0,0,0,0
Houston Rockets,Rockets,1,0,0,0,0,0
Oklahoma City Thunder,Thunder,1,0,0,0,0,0
Orlando Magic,Magic,1,0,0,0,0,0
Sacramento Kings,Kings,1,0,0,0,0,0
San Antonio Spurs,Spurs,1,0,0,0,0,0
Indiana Pacers,Pacers,0.6,0.1,0.1,0.1,0.05,0.05
Portland Trailblazers,Trailblazers,0.5,0.1,0.1,0.1,0.1,0.1
New York Knicks,Knicks,0.3,0.25,0.15,0.1,0,0.2
Washington Wizards,Wizards,0.3,0.15,0.2,0.15,0.1,0.1
Charlotte Hornets,Hornets,0.25,0.15,0.05,0.25,0.25,0.05
Utah Jazz,Jazz,0.25,0.05,0.05,0.3,0.2,0.15
Atlanta Hawks,Hawks,0.2,0.3,0.2,0.15,0.05,0.1
Cleveland Cavaliers,Cavaliers,0.2,0.2,0.2,0.2,0,0.2
Minnesota Timberwolves,Timberwolves,0.2,0.16,0.16,0.16,0.16,0.16
Toronto Raptors,Raptors,0.15,0.3,0.1,0.1,0.15,0.2
Chicago Bulls,Bulls,0.1,0.35,0.1,0.15,0.2,0.1
Denver Nuggets,Nuggets,0.1,0.35,0.15,0.35,0,0.05
New Orleans Pelicans,Pelicans,0.1,0.28,0.14,0.13,0.1,0.25
Boston Celtics,Celtics,0,0.4,0.1,0.35,0.05,0.1
Brooklyn Nets,Nets,0,0.2,0.1,0.4,0.2,0.1
Dallas Mavericks,Mavericks,0,0.25,0.15,0.3,0.2,0.1
Golden State Warriors,Warriors,0,0.35,0.15,0.2,0.3,0
LA Clippers,Clippers,0,0.2,0.15,0.25,0.3,0.1
LA Lakers,Lakers,0,0.5,0.2,0.25,0,0.05
Memphis Grizzlies,Grizzlies,0,0.4,0.1,0.45,0,0.05
Miami Heat,Heat,0,0.25,0.35,0.2,0.05,0.1
Milwaukee Bucks,Bucks,0,0.6,0.1,0.15,0.05,0.1
Philadelphia 76ers,76ers,0,0.5,0.1,0.1,0.15,0.15
Phoenix Suns,Suns,0,0.3,0.2,0.35,0.15,0
